gene,Bergmann glial cell,astrocyte,central nervous system macrophage,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
U91319,0.0,0.6014734645662704,0.0,0.0,0.0,0.0,0.0,0.0,0.9037736110027675,0.0,0.0
ZNF831,0.0,0.0,0.0,0.09525,0.0,0.9655562913884759,0.0,0.0,0.0,0.0,0.0
CHRM3,0.0,0.0,0.0,0.0,0.7893499056715008,0.0,0.0,0.0,0.0,0.0,0.0
AC004147.4,0.6304238420589804,0.0,0.0,0.0,0.0,0.0,0.018774157923799006,0.0,0.0,0.0,0.0
OLFML2B,0.0,0.0,0.47678997785953825,0.0,0.45173135141547777,0.0,0.0,0.2160745425393934,0.0,0.0,0.8243000492224819
CPNE4,0.0,0.0,0.239343603941235,0.0,0.784040333309997,0.0,0.0,0.0,0.13276035659769056,0.0,0.0
ATP10A,0.0,0.0,0.0,0.6795410624947003,0.34502705877356016,0.4292837393233194,0.0,0.0,0.0,0.1430128419991892,0.6215744349158359
AC011287.1,0.0,0.0,0.0,0.0,0.047288135593220336,0.0,0.17163804004882094,0.0,0.0,0.0,0.0
ADRA1B,0.0,0.0,0.0,0.0,0.603758121255276,0.0,0.018361581920903956,0.0,0.0,0.0,0.0
TFAP2B,0.0,0.0,0.0,0.0,0.04372881355932203,0.0,0.34238972755945307,0.0,0.0,0.0,0.0
ADAMTS9-AS2,0.0,0.44311379726341105,0.0,0.3779381422112618,0.48369793995855437,0.0,0.0,0.0,0.42735959806817514,0.45747177255553007,0.39570245212833227
KCNQ5,0.10132078871585005,0.0,0.0,0.0,0.0,0.5864898340084268,0.0,0.0,0.0,0.0,0.0
LYPD6,0.5284444563444994,0.7768977473319463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCTEX1D1,0.0,0.0,0.07564344005021971,0.0,0.0,0.0,0.23335896048280705,0.0,0.0,0.0,0.0
TRPC6,0.0,0.0,0.0,0.1480981298808056,0.28992044207957846,0.0,0.10676304420073114,0.0,0.0,0.40199726477197584,0.5252857120060681
LIPG,0.0,0.3136645526478941,0.43222178726593463,0.0,0.0,0.0,0.08648653707568625,0.0,0.0,0.0,0.0
SORCS3,0.0,0.0,0.0,0.0,0.0,0.0,0.08379348426283821,0.0,0.8953009931026674,0.0,0.0
MARCH11,0.0,0.0,0.0,0.0,0.03169491525423729,0.0,0.3707556696742095,0.0,0.0,0.0,0.0
LMCD1,0.0,0.40932508584706595,0.0,0.7960837704775676,0.16408340693026818,0.0,0.0,0.05986694096454126,0.1987121605688157,0.0,0.0
KIT,0.0,0.7299277547985328,0.0,0.0,0.2552821200941614,0.0,0.0,0.0,0.0,0.0,0.0
UNC5D,0.0,0.0,0.0,0.0,0.0,0.0,0.07195081422399469,0.0,0.004045996592844974,0.0,0.0
BTBD11,0.0,0.0,0.0,0.0,0.0,0.120834794808839,0.08773678963110668,0.0,0.015502555366269165,0.0,0.0
SCGN,0.0,0.0,0.0,0.0,0.0,0.0,0.42904931441640476,0.0,0.0,0.0,0.0
RASGEF1B,0.0,0.0,0.09653996303416612,0.0,0.022349726775956286,0.0,0.0,0.2877028589392664,0.33205953271575694,0.0,0.27098386475890907
GALNT14,0.0,0.0,0.0,0.0,0.0,0.0,0.2615357498276384,0.0,0.0,0.05732283464566929,0.0
NXPH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8880679304262262,0.0,0.0
MIR4500HG,0.0,0.5779131667175309,0.0,0.0,0.04288394532296971,0.0,0.0,0.0,0.3273895545445683,0.0,0.0
CLSTN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4575979781289204,0.0,0.0
HGF,0.2517975434655266,0.21326676477348447,0.4265267942026383,0.0,0.42508782567559056,0.0,0.0,0.0,0.0,0.35241803641855524,0.8469602539157937
BTNL9,0.0,0.0,0.0,0.9894670869456613,0.0,0.0,0.0691606847045831,0.0,0.0,0.0,0.0
ZNF804B,0.0,0.030229472689699874,0.0,0.0,0.0,0.0,0.0,0.0,0.1560608245732965,0.0,0.0
AC024610,0.5754621519729827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCHS2,0.0,0.7716132285825679,0.0,0.0,0.7059177364452507,0.0,0.0,0.0,0.16050867279408,0.0,0.0
AC009264,0.5578159924589339,0.0,0.0,0.0,0.06610169491525424,0.0,0.0,0.0,0.0,0.0,0.0
NDNF,0.0,0.4361585045810201,0.0,0.0,0.9425741782172364,0.0,0.0,0.0,0.08929992765773727,0.0,0.0
HTR2A,0.3643108541972496,0.8216824526625321,0.0,0.0,0.4723440415849554,0.0,0.0,0.0,0.0,0.0,0.0
HMCN1,0.03572455434157562,0.0,0.0,0.9002501142836077,0.45718670773448866,0.0,0.0,0.0,0.0,0.22168630059755814,0.0
HTR7,0.0,0.06280853314527504,0.6450488170037525,0.0,0.0,0.0,0.0,0.0,0.020741056218057923,0.0,0.0
LINC01387,0.0,0.24505311524786993,0.04902477596204533,0.0,0.5224887639778633,0.0,0.0,0.04017951425554382,0.02934412265758092,0.0,0.0
ISM1,0.0,0.0,0.0,0.5803352023319971,0.7582100537139503,0.0,0.0,0.0,0.0,0.17997388278374166,0.0
FGF13,0.0,0.0,0.17245499575465467,0.0,0.8336338014612176,0.0,0.0,0.0,0.0,0.0,0.0
GRIN2B,0.0,0.0,0.0,0.0,0.0,0.0,0.04307012700165654,0.0,0.8715278790135172,0.0,0.0
THSD7B,0.0,0.0,0.0,0.0,0.0,0.0,0.024426719840478565,0.0,0.0,0.8236713927940638,0.0
GUCY1A3,0.4145071798660249,0.060635631513211774,0.38594867595208016,0.0,0.29333696558006833,0.0,0.0,0.0,0.0,0.5350744920460361,0.723478507585898
FLRT2,0.0,0.33889727070643083,0.0,0.0,0.7455390852584697,0.0,0.0,0.0,0.46999127714707134,0.0,0.404464036399899
PARM1,0.018617021276595744,0.0,0.0,0.4275808003776196,0.0,0.0,0.0,0.0,0.25971367652418687,0.3766656512722334,0.0
COL24A1,0.0,0.27101784167305065,0.0,0.05533333333333333,0.44530885627992545,0.0,0.0,0.0,0.0,0.4386874042272194,0.0
LGI2,0.0,0.0,0.0,0.0,0.0,0.0,0.006488128106018774,0.0,0.6453221336613844,0.0,0.0
LINGO2,0.0,0.0,0.0,0.0,0.40888710833096936,0.0,0.19304432551783268,0.0,0.0,0.0,0.0
DAPL1,0.0,0.0,0.0,0.0,0.07787742641814573,0.0,0.0,0.0,0.6177684829596253,0.0,0.0
CYYR1,0.0,0.0,0.0,0.9342974984621377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANOS1,0.0,0.7047553677971515,0.7326948698273161,0.0,0.0,0.0,0.0,0.0,0.44790503718150554,0.0,0.0
SCIN,0.0,0.0,0.9277234198590982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GULP1,0.0,0.1725974270691865,0.0,0.4262280106863954,0.4729408017012975,0.20650104798452829,0.0,0.0,0.0,0.4371502311422868,0.4023471255233275
ST8SIA4,0.0,0.0,0.669032673261454,0.532093203452534,0.0,0.5889792359088801,0.0,0.0,0.0,0.0,0.0
TRPC4,0.4633191497900739,0.0,0.0,0.0,0.05208682827235406,0.0,0.0,0.0,0.41527700149335667,0.715551717407593,0.7567775973978754
ZMAT4,0.0,0.0686140420469782,0.0,0.0,0.0,0.49358966844104646,0.0,0.0,0.7493358291259085,0.0,0.0
RAB3B,0.0,0.0,0.0,0.0,0.0,0.0,0.3242699657332071,0.0,0.0,0.0,0.0
ZNF385D-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.5956806320996091,0.0,0.0,0.0,0.0
SAMD3,0.0,0.20722970364030074,0.0,0.0,0.0,0.9395882701932537,0.0,0.0,0.0,0.0,0.0
CDHR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1606024515612447,0.7734962316266045,0.0,0.0
GRM8,0.31768065389340633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27338625906938896,0.9175248676187869,0.0
CSRP2,0.038204427832087405,0.41008555204187513,0.0,0.46383824826385023,0.22375587493940152,0.0,0.0,0.0,0.0,0.5233188819959885,0.4333407634710795
SULF1,0.533440396853795,0.40646471961370356,0.0,0.4209366118043442,0.2901586471638451,0.0,0.0,0.0,0.0,0.0,0.0
RSPO2,0.1932148163834675,0.9000493436180915,0.0,0.0,0.13590689731433434,0.0,0.0,0.06174147290972622,0.0,0.0,0.0
NDST4,0.0,0.0,0.0,0.0,0.7561863640284732,0.0,0.0,0.0,0.0,0.0,0.0
ERVMER61-1,0.0,0.0,0.0,0.0,0.0,0.0,0.33209886262434857,0.0,0.0,0.0,0.0
PTPRT,0.0,0.26219418410044937,0.0,0.0,0.0,0.0,0.0,0.0,0.860079582573347,0.0,0.0
CSMD3,0.132966966980521,0.2209236114179992,0.0,0.0,0.0,0.0,0.0,0.01376772082878953,0.6392409537914925,0.0,0.0
HS3ST4,0.0,0.0,0.954263715160254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01435,0.0,0.24102942443221032,0.0,0.0,0.17130836248104594,0.0,0.1431538717181788,0.0,0.0,0.0,0.0
SHANK2,0.36255847793707263,0.2870178735603125,0.0,0.0,0.0,0.0,0.0,0.0,0.2883683535053413,0.0,0.0
KCNH7,0.0,0.0,0.0,0.0,0.0,0.0,0.5750680132286015,0.0,0.0,0.0,0.0
BMPR1B,0.8121235942796018,0.6022753938295756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01850904128283862,0.0
FOXP2,0.40490852495948226,0.11783321425388413,0.5682779179355776,0.0,0.6151976032446723,0.0,0.0,0.0,0.0,0.4383385310951012,0.0
MIR31HG,0.0,0.0,0.3257581499956703,0.0,0.0,0.3458466145692195,0.19578401276934887,0.0,0.0,0.0,0.0
FRMPD4,0.7180250295307545,0.0,0.0,0.0,0.0,0.0,0.014908890115958034,0.0,0.0,0.0,0.0
LINC02008,0.0,0.1541466959649842,0.7026044280681351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVALB,0.0,0.0,0.0,0.0,0.0,0.0,0.14827870520593567,0.0,0.0,0.0,0.0
TNFAIP2,0.3406458695581634,0.23136214772089586,0.7085071717960112,0.0,0.1275423164067706,0.3010336184130261,0.0,0.0,0.0,0.0,0.0
GAD2,0.0,0.02250099561927519,0.0,0.0,0.0,0.0,0.3115926470542358,0.0,0.0,0.0,0.0
AC006058.1,0.0,0.3742502655060277,0.0,0.0,0.0,0.0,0.0,0.5292224869884465,0.6450486654030959,0.0,0.0
PLD1,0.0,0.0,0.40547869320882957,0.0,0.4474464719606663,0.0,0.0,0.5346064507098229,0.0,0.0,0.4431863513929256
ATRNL1,0.0,0.3150470051107056,0.0,0.0,0.49043896789083463,0.0,0.0,0.0,0.7727284334573823,0.0,0.0
CNTNAP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766715473401594,0.0,0.0
COL4A2,0.0,0.1856743457069801,0.0,0.44302784628031233,0.5033206954382213,0.0,0.0,0.0,0.14357489421290803,0.472603249904645,0.707891416459075
EBF2,0.0,0.0,0.0,0.0,0.9275613715952531,0.0,0.0,0.15379789896886875,0.0,0.0,0.0
SNCG,0.0,0.0,0.0,0.2462138559646295,0.0,0.0,0.018195413758723827,0.0,0.0,0.6812018274905021,0.0
GRIA3,0.0,0.3256517470485866,0.0,0.0,0.17325254513579183,0.0,0.0,0.26365329570086254,0.5983798156839357,0.0,0.0
PRKCG,0.0,0.0,0.0,0.0,0.0,0.0,0.3635337774638536,0.0,0.0,0.0,0.0
UACA,0.4445230273015774,0.38285544783542447,0.29294446572918886,0.4397624332100288,0.48137493720460534,0.0,0.0,0.42541105336755725,0.2499249642821574,0.44170629625681773,0.4426185689807913
CLMN,0.22872993051907828,0.0,0.0,0.0,0.05333333333333334,0.04201068479844585,0.0,0.5189349902066043,0.0,0.5713714582123478,0.30579387818290443
TMTC1,0.4221010824326886,0.4761149317482188,0.0,0.43559977394163585,0.4804043803723932,0.0,0.0,0.0,0.24746427624496092,0.4624088241173935,0.5789627507665046
GPR63,0.27753850007672937,0.31956880442669416,0.0,0.20679027949034115,0.0,0.0,0.0,0.0,0.4157866032009809,0.17598652315682273,0.7876303588638329
AC011247.1,0.0,0.0,0.0,0.0,0.8345716579951797,0.0,0.0,0.0,0.09037139724100851,0.12362837525743715,0.0
BMP6,0.0,0.0,0.0,0.774903453243278,0.8644665921086933,0.0,0.0,0.0,0.0,0.3392107771937327,0.0
PTCHD4,0.0,0.0,0.5966420903703825,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR3,0.4587223118685535,0.4853637588115295,0.0,0.40883497739416363,0.628469208579063,0.3144335908108359,0.0,0.0,0.06375459496873095,0.0,0.0
BCL11A,0.0,0.0,0.0,0.0,0.38225586055389726,0.0,0.0,0.046356916578669485,0.660898875192113,0.0,0.0
COL5A1,0.43886496501556665,0.0,0.2587243898543573,0.0,0.8505764388845514,0.0,0.0,0.0,0.45623114113473845,0.0,0.0
CNTN3,0.0,0.3905656132908466,0.0,0.0,0.0,0.0,0.0,0.27567680102502806,0.8886247737277998,0.0,0.0
KLHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.05949751518498067,0.0,0.9386835525300681,0.0,0.0
LRAT,0.17133783486950604,0.9418798105045003,0.0,0.0,0.0,0.0,0.0,0.0728260569162332,0.0,0.0,0.0
AC120193,0.0,0.0,0.873218242970947,0.0,0.0,0.0,0.08890115958034235,0.0,0.0,0.0,0.0
TRPC3,0.0,0.0,0.0,0.0,0.2740482415092571,0.0,0.0,0.0,0.46473555789075927,0.9064143300320784,0.5094395857871786
NELL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8961673611642633,0.0,0.0
COL4A1,0.0,0.1547458401606511,0.0,0.42968341553637485,0.48535243777946696,0.0,0.0,0.0,0.0,0.703037703143393,0.4190362651595432
TNC,0.0,0.9564916132803445,0.3130622380820412,0.18744954788327167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFAP47,0.33794597863825787,0.9651782825291747,0.0,0.0,0.0,0.0,0.0,0.0,0.003747870528109029,0.0,0.0
GPC3,0.0,0.838158625821958,0.0,0.0,0.7520635758133354,0.0,0.0,0.0,0.0,0.0,0.0
CPAMD8,0.0,0.7935623021837462,0.0,0.3888348746403617,0.4042431232635151,0.29397362633372315,0.0,0.0,0.0,0.0,0.0
AC073941.1,0.0,0.98935203532396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP1,0.12890300052803777,0.9809266695306535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPSE2,0.0,0.9857090581838193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01088,0.38334530729919297,0.6512428734554713,0.0,0.15549496506370736,0.6114959288526471,0.0,0.0,0.0,0.0,0.0,0.31403334336337985
RNF219-AS1,0.5852696899127295,0.9591378167687838,0.0,0.0,0.24080326843621525,0.0,0.0,0.0,0.0,0.0,0.0
HSPB8,0.0,0.665495256454023,0.0,0.01425,0.019967837041007772,0.0,0.0,0.0,0.0,0.3351300959286509,0.7617477728130082
SLC14A1,0.0,0.8922215521982235,0.0,0.0,0.22201447626077775,0.5305640559171937,0.0,0.0,0.0,0.0,0.0
FAM189A2,0.48421468593951644,0.8762055966344305,0.0,0.3595387381833128,0.0,0.0,0.0,0.0,0.0,0.16270948674383254,0.0
AQP4,0.6612328253964059,0.9556976817328883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD44,0.29937401135236463,0.693054865695421,0.07145256222774274,0.0,0.34712112224707187,0.6949255466094435,0.0,0.22452026660555804,0.0,0.43016673323324806,0.0
ANGPTL4,0.0720638532492539,0.877944797083992,0.0,0.22709062885326758,0.38342334860927424,0.0,0.0,0.26119390395428826,0.0,0.3658422256440156,0.0
DPP10,0.0,0.8403012408422079,0.0,0.0,0.0,0.0,0.0,0.0,0.5500430404714274,0.0,0.0
GFAP,0.45797576309675725,0.9323948787640891,0.0,0.0,0.0,0.0,0.0,0.0,0.0009087783249652282,0.0,0.0
PAMR1,0.3948888396335566,0.9365477593292035,0.0,0.0,0.7088794088833679,0.0,0.0,0.0,0.3837273661083463,0.0,0.0
SLC6A11,0.21793159686736086,0.9427788386674292,0.0,0.0,0.0,0.0,0.0,0.0,0.560639831084401,0.0,0.0
PLIN4,0.28844739900535676,0.9064059610825044,0.0,0.0,0.0,0.0,0.0,0.0,0.2578441296211478,0.0,0.0
FAM167A,0.8639657523329912,0.6908290335602212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT1G,0.0,0.9686766371779933,0.0,0.0,0.0,0.0,0.0,0.0,0.06635434412265757,0.0,0.0
LOXL1,0.26429334103961066,0.2472109038796776,0.0,0.0,0.8646129788572152,0.0,0.0,0.0,0.14629657805067953,0.4231773089990707,0.0
GABRG3,0.9649329598236089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTSL1,0.8184861831399749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A1,0.859402045429361,0.5663855601437707,0.0,0.04108456637895602,0.3216740702986205,0.0,0.0,0.0,0.0,0.0,0.0
GRIA1,0.8247971954024086,0.4319561012211528,0.0,0.0,0.0,0.0,0.0,0.0,0.11793107960775936,0.0,0.0
LGR6,0.8635066857252328,0.0,0.0,0.0,0.0,0.3256128210371831,0.0,0.0,0.0,0.0,0.0
LINC00299,0.6545994849468177,0.6148004815424251,0.0,0.0,0.0,0.05779504613890238,0.0,0.0,0.1366021104600395,0.0,0.0
LINC01208,0.9094525936012954,0.3678491998675725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01727,0.9621511598630705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABRA2,0.9525350383858556,0.6103346333887979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1R3B,0.35997875690980885,0.26208914349699064,0.24619849096184632,0.10678545006165228,0.3437756383136197,0.0,0.0,0.0,0.37748952114572487,0.2264243000984158,0.0
TTC6,0.32816381576694903,0.0,0.0,0.0,0.0,0.0,0.0,0.32974856603934366,0.8461107245584845,0.0,0.0
SYDE2,0.062179730213608474,0.49028573371269707,0.0,0.0,0.6186245868554903,0.0,0.0,0.0,0.42256576694754805,0.0,0.0
HAS2,0.03351845863231144,0.21907617749783548,0.0,0.0,0.0,0.0,0.0,0.0,0.904587293682814,0.0,0.0
MATN4,0.013369752731454859,0.16639553601900106,0.0,0.0,0.0,0.0,0.0,0.0,0.7635422355127723,0.0,0.0
AC092652.2,0.0,0.12586076203358731,0.574366004626936,0.0,0.0,0.0,0.0,0.0,0.7673083671296439,0.0,0.0
AL353784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9633933532003194,0.0,0.0
AC124254,0.0,0.0,0.0,0.0,0.2267486704951719,0.0,0.0,0.0,0.8703737041905177,0.08105733416038564,0.0
STK32B,0.0,0.0,0.6279475470406947,0.0,0.05927147089881996,0.0,0.0,0.0,0.8683940884779994,0.0,0.0
AL445673,0.10972577269946356,0.2944123938376262,0.0,0.0,0.21714165615804962,0.0,0.0,0.0,0.8429998714834539,0.3828582839491197,0.0
FERMT1,0.0,0.0,0.0,0.0,0.36332248460162403,0.0,0.0,0.0,0.9310233623418366,0.0,0.0
AC004852.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9558158949276435,0.0,0.0
PCDH15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370192528189171,0.0,0.0
PDGFRA,0.0,0.0,0.0,0.0,0.5977595712328455,0.0,0.0,0.0,0.907208683119803,0.0,0.0
SMOC1,0.0,0.6618763646557524,0.0,0.0,0.0,0.0,0.0,0.5189231378886405,0.8348284288309996,0.0,0.0
SEMA5A,0.0,0.0,0.0,0.0,0.4415414932927928,0.0,0.0,0.3858383166416973,0.5092154762972934,0.4584621966586236,0.3703540170336355
AL133346,0.0,0.0,0.0,0.2915322646937937,0.264699643951943,0.0,0.0,0.31276635701637917,0.562850057215626,0.35433508974930294,0.3849468747069428
TMEM132D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473385886581593,0.0,0.0
LUZP2,0.0,0.7924080956703379,0.0,0.0,0.0,0.0,0.0,0.0,0.8396723591289307,0.0,0.0
PCDH7,0.1870142609638588,0.7744404658615609,0.0,0.1648756678997123,0.0,0.0,0.0,0.0,0.8287685091113993,0.0,0.0
OSBPL3,0.38199946870926926,0.24614327782107814,0.6605938238160971,0.0,0.34521296243407396,0.3061291470282315,0.0,0.0,0.2815480587283581,0.0,0.0
KCNF1,0.30863286850883775,0.0,0.0,0.0,0.07738199958111994,0.0,0.0,0.0,0.8914692741436878,0.0,0.0
ASCL1,0.5903601463071784,0.03446755994358251,0.0,0.0,0.0,0.0,0.0,0.0,0.9140336352340552,0.0,0.0
LHFPL3-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8825556281333481,0.0,0.0
POU6F2,0.0937978973882665,0.437037505027136,0.0,0.035833333333333335,0.2100127275097287,0.0,0.0,0.0,0.48551934150409365,0.4456013579656751,0.5475425545565774
AL359094.1,0.35736913580638474,0.013751763046544428,0.0,0.044083333333333335,0.0,0.0,0.0,0.4729984442225342,0.3922950366060258,0.14484534935040863,0.0
AC092691,0.6974109076998213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784959040746501,0.0,0.0
AL392023,0.42876416650601923,0.0,0.0,0.0,0.0,0.0,0.0,0.5987626667369439,0.8596475972917733,0.0,0.0
AL078590.2,0.0,0.0,0.27087742432450085,0.0,0.0,0.0,0.0,0.7844065954103513,0.0,0.0,0.0
XACT,0.0,0.0,0.7593566254150227,0.0,0.0,0.0,0.0,0.0,0.7942991142912438,0.0,0.0
C1QL1,0.0,0.34660848541062783,0.0,0.0,0.0,0.0,0.0,0.0,0.9365587995712216,0.0,0.0
TMEM235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671134983534164,0.0,0.0,0.0
CNDP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9598326474591385,0.0,0.0,0.0
AR,0.3794337321551414,0.6619547354804168,0.0,0.0,0.3908043229594609,0.0,0.0,0.0,0.43019538586175193,0.31057847857476456,0.48201545005706303
AC022034.2,0.3723926915523472,0.0,0.0,0.0,0.43899236431335453,0.0,0.0,0.0,0.8333588468906066,0.0,0.0
MYRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9452158544679097,0.0,0.0,0.0
APOD,0.0,0.0,0.0,0.0,0.5133999388386448,0.0,0.0,0.47399260017572564,0.5116956487796449,0.16825570300089,0.0
LINC02208,0.04962930313572132,0.2234730390589646,0.0,0.55630549419868,0.42854535841341124,0.0,0.0,0.0,0.08746066570122724,0.8767303608649532,0.0
LINC01792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601568456276617,0.0,0.0,0.0
SCN9A,0.0,0.0,0.05805243445692884,0.0,0.0,0.0,0.0,0.0,0.9240034545445739,0.0,0.0
OPALIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9518182357819278,0.0,0.0,0.0
SATB1-AS1,0.07351689741176919,0.37962090703483037,0.0,0.0,0.0,0.15786508635092242,0.0,0.0,0.8188379108122363,0.0,0.0
AC092821,0.0,0.0,0.07173721754113714,0.0,0.0,0.4095646831890573,0.0,0.0,0.7249184430591429,0.0,0.0
MT1M,0.3895945708072781,0.5778867753146221,0.0,0.48612892136058894,0.0,0.24842051640515644,0.0,0.0,0.44959640874403267,0.1626389604140741,0.0
ISG15,0.03924669350201265,0.2696103515921548,0.0,0.6942586965655377,0.15768665427601852,0.0,0.0,0.0,0.2840507975123511,0.5750363615476979,0.0
TMEM5-AS1,0.38221915662997885,0.32387016357608817,0.0,0.0,0.0,0.0,0.0,0.0,0.22707135238512677,0.0,0.0
COL9A1,0.4494451654290545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9087896865505298,0.0,0.0
ADAM33,0.5003084462445595,0.17304031034803707,0.0,0.0,0.8060176513772468,0.0,0.0,0.0,0.2146047413744399,0.5018397338775518,0.0
SEMA5B,0.34357890667638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5864547037919764,0.2794862130122041,0.7621778839549975
COL11A1,0.12400075989294163,0.24611481694805873,0.0,0.0,0.5197640511685063,0.0,0.0,0.0,0.7642332590322589,0.0,0.2922382702966714
AC020909.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7820287465234008,0.7099627639035526,0.0,0.0
NLRC5,0.40133208667463804,0.4047441119861983,0.408811491912334,0.3468118577887382,0.3271516301904147,0.46688155353863053,0.0,0.13889417959563136,0.2591878418224469,0.0,0.0
ZNF469,0.0,0.252935535760003,0.5037799046752154,0.0,0.0,0.0,0.0,0.0,0.7653912102595694,0.0,0.0
GPR17,0.0,0.0,0.0,0.1956114878750514,0.0,0.0,0.0,0.0,0.9269171446054811,0.0,0.0
REP15,0.0,0.0,0.0,0.0,0.4623166525281611,0.0,0.0,0.3838603664137491,0.22519715434496357,0.5343091900453364,0.0
SIGLEC1,0.0,0.0,0.8288960021899755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
