gene,Bergmann glial cell,astrocyte,central nervous system macrophage,choroid plexus epithelial cell,endothelial cell,ependymal cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
SCNN1G,0.0,0.0,0.0,0.0,0.15916542473919523,0.0,0.0,0.0,0.2878946953399276,0.0,0.0,0.0,0.0
TYMSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7866547069622201,0.0,0.0,0.0
AC010883,0.0,0.09030811680846172,0.0,0.0,0.0,0.5888574112027186,0.0,0.0,0.0,0.0,0.19058591451849938,0.0,0.0
PIK3CD-AS2,0.0,0.0,0.35140470871244717,0.0,0.0,0.0,0.0,0.7075467492290257,0.0,0.0,0.0,0.5792544067656574,0.0
C8orf87,0.0,0.08079882740930744,0.0,0.0,0.0,0.0,0.0,0.0,0.5797752873099667,0.0,0.0,0.0,0.0
AL078581.1,0.0,0.0,0.0,0.0,0.0,0.24703211479844925,0.0,0.0,0.24136980132347902,0.0,0.0,0.0,0.0
DOCK9-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.11215382784749584,0.0,0.0,0.05737904206175541,0.0,0.364449062465391,0.0
Z93403,0.0,0.06570448587895558,0.0,0.0,0.0,0.0,0.0,0.12620488679668235,0.13688253136419867,0.0,0.0,0.0,0.0
DOK7,0.0,0.11405276658116527,0.0,0.0,0.0,0.0,0.0,0.0,0.4712011261189219,0.0,0.0,0.0,0.0
LINC01907,0.0,0.0,0.6459040103885912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL162411,0.49205495713373504,0.20444603370275938,0.0,0.0,0.0,0.01104886399004046,0.05492676145969143,0.0,0.0,0.0,0.4892261135949625,0.0,0.0
LINC00951,0.0,0.09857090509344082,0.0,0.0,0.0,0.0,0.0,0.0,0.3060278947547222,0.0,0.3940765763678292,0.0,0.0
AL356275,0.0,0.32456042817708136,0.0,0.0,0.2679510163877019,0.19625952902426236,0.0,0.0,0.07048909451421018,0.0,0.042082394592854844,0.0,0.0
C1orf94,0.0,0.7735115981642207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2268934692207458,0.0,0.0
RHEBL1,0.0,0.0,0.40435249891711944,0.0,0.3509552398319552,0.0,0.0,0.0,0.0978354263053536,0.0,0.0,0.0,0.0
MT-RNR1,0.0,0.0,0.0790506329113924,0.5170262619084082,0.09396127842655194,0.35438179568390105,0.1316594672426206,0.30618542369232976,0.3519311252474443,0.0,0.0,0.1272635814889336,0.0
ULBP2,0.0,0.0,0.0,0.0,0.16245878029009234,0.0,0.0,0.0,0.2994658564346495,0.0,0.0,0.0,0.0
LINC01915,0.0,0.0,0.0,0.0,0.5196754310081249,0.0,0.0,0.0,0.13618638466622604,0.0,0.0,0.0,0.0
NDUFC2-KCTD14,0.0,0.02171124954195676,0.0,0.0,0.0,0.0,0.0,0.0,0.5974842954893863,0.0,0.0,0.0,0.0
AC068473.3,0.0,0.11844998167827042,0.0,0.0,0.0,0.0,0.0,0.0,0.5446634347884283,0.0,0.0,0.0,0.0
AC004941.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5579626626829401,0.0,0.0,0.0,0.0
POU4F1,0.0,0.27989914666245147,0.0,0.0,0.0,0.0,0.0,0.0,0.497223014874643,0.0,0.0,0.0,0.0
GAD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9511279322597082,0.0,0.0,0.0,0.0
LYPD6,0.09385798551451084,0.5583362402870341,0.0,0.0,0.0,0.32107962304068327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00867,0.0,0.13897031879809454,0.0,0.0,0.0,0.0,0.0,0.0,0.3324781269718386,0.0,0.0,0.0,0.0
TOX2,0.0,0.0,0.0,0.0,0.0,0.3683436757229779,0.0,0.0,0.10522141440846002,0.0,0.839193921388057,0.0,0.0
LINC01208,0.9791202307850532,0.22150707165839112,0.0,0.0,0.0,0.0,0.0,0.0,0.33273941409829344,0.0,0.0,0.0,0.0
KIT,0.0,0.7247616465525831,0.0,0.0,0.0,0.0,0.0,0.0,0.29888371835897426,0.0,0.0,0.0,0.16426869429485008
FOXP2,0.3993206295480648,0.0,0.5002259795594708,0.0,0.0,0.5186980481153327,0.4439677303940702,0.0,0.0,0.0,0.0,0.39249158231963693,0.0
ATP6V0D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363607816916428,0.0,0.0,0.0
PRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5518733666184484,0.0,0.0,0.0,0.0
CHRNA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392139416742502,0.0,0.0,0.0,0.0
OTX2-AS1,0.0,0.0,0.233470261619587,0.994253613110251,0.0,0.0,0.0,0.0,0.0312128222075347,0.0,0.0,0.0,0.0
ASCL1,0.0,0.07342047930283224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818992892064653,0.0,0.0
AC112493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22268842640756975,0.02079549582273883,0.83523941258275,0.0,0.0
AC245519.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3573776109173066,0.0,0.05832979175520612,0.0,0.0
ZMAT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8984418047249125,0.0,0.0,0.0,0.0
LINC02254,0.0,0.0,0.0,0.0,0.0,0.0,0.19317653400268708,0.0,0.277259626961948,0.0,0.0,0.0,0.0
LINC02456,0.0,0.0,0.7591710992673445,0.0,0.0,0.0,0.0,0.0,0.19634094357882584,0.0,0.0,0.0,0.0
GOLGA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4627245783569003,0.0,0.0,0.0
PSG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5516604699081644,0.0,0.0,0.0,0.0
LINC00890,0.0,0.0,0.3561625170788939,0.0,0.0,0.0,0.0,0.0,0.3575712468285559,0.0,0.0,0.0,0.0
SLC6A11,0.0,0.8589696537404923,0.0,0.0,0.0,0.015006744604316547,0.0,0.0,0.27196954872069334,0.0,0.0,0.0,0.0
CD163L1,0.0,0.0,0.13580908665883082,0.0,0.0,0.0,0.0,0.020454545454545454,0.1732815598149372,0.0,0.0,0.3633384664599107,0.6790856205295219
MPZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018493611297915265,0.0,0.08555679903249017,0.0,0.0,0.0
AL117372,0.0,0.0,0.07225913621262459,0.0,0.0,0.0,0.0,0.0,0.2869997630232925,0.0,0.19449309792359792,0.0,0.0
HGF,0.0,0.0415612784548172,0.6355506106494949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7898416538158467,0.2995856935254613
AP001025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9110740687200908,0.0,0.0
OLFML2B,0.0,0.0,0.39944170599951323,0.0,0.0,0.0,0.5551824831483047,0.0,0.0,0.0,0.0,0.0,0.8631596383674434
GULP1,0.0,0.0,0.0,0.866819305018624,0.26635953209182184,0.3117562497620951,0.32857593896289616,0.0,0.4600678770664114,0.0,0.0,0.12480594225249977,0.12093987560469938
SPRY4,0.34662588709778713,0.0,0.0,0.0,0.0,0.0,0.1755928760367189,0.0,0.05993060145406477,0.0,0.4787906267937121,0.652379008494797,0.0076378779932721325
SLCO2B1,0.0,0.0,0.8448045047114827,0.0,0.8077398143403814,0.0,0.04607631389488841,0.0,0.0,0.0,0.0,0.0,0.0
IL12RB2,0.0,0.0,0.0,0.0,0.0,0.0,0.1291679030236489,0.7234533534166621,0.08924322538003966,0.0,0.0,0.0,0.0
TRAF3IP3,0.0,0.0,0.778739178111227,0.0,0.0,0.0,0.0,0.8790586928154109,0.0,0.0,0.0,0.0,0.0
LINC02253,0.0,0.0,0.0,0.0,0.0,0.0,0.32552278287117625,0.0,0.14861202908129545,0.0,0.0,0.0,0.0
AL391704.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458024798293185,0.0,0.0,0.0,0.0
LINC00320,0.09031977754605493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7279485685337121,0.524488692816176,0.0,0.0
NPSR1,0.0,0.0,0.0,0.9748214763587773,0.0,0.0,0.0,0.0,0.12767680105750165,0.0,0.0,0.0,0.0
HSD3BP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5381342111497844,0.0,0.0,0.0,0.0
VGLL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898876404494382,0.023219061512278143,0.0,0.7283476473987174,0.5985043072664487
PTN,0.16262207753773306,0.0,0.0,0.0,0.0,0.0,0.1967242620590353,0.0,0.0,0.2927133468557936,0.43443888026068583,0.41273903460306344,0.0
SLC16A12,0.0,0.0,0.0,0.9547034209886648,0.0,0.5901795066645323,0.7465889708906054,0.0,0.03146067415730337,0.0,0.0,0.16848510691900984,0.0
SMPX,0.0,0.19489304853611109,0.0,0.0,0.0,0.0,0.0,0.0,0.38716682552021575,0.0,0.0,0.0,0.0
GAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8089494495420315,0.0,0.6850143891011337,0.0,0.0
RANBP3L,0.14802615847211614,0.48568901292228495,0.0,0.0,0.0,0.08991138671695696,0.43341293762093347,0.0,0.0,0.0,0.0,0.39355123975664474,0.44484934866817505
SRXN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22061876138910136,0.30419900434192804,0.0,0.0,0.0,0.0
FBLL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7712255598270549,0.0,0.02921801954951126,0.0,0.0
SAMD5,0.0,0.0,0.0,0.0,0.8814374130363372,0.0,0.0,0.0,0.25481469586146155,0.0,0.0,0.3219827477344382,0.0
DYSF,0.0,0.07799564270152505,0.0,0.0,0.6183221098586329,0.0,0.0,0.0,0.20745866837950022,0.0,0.0,0.0,0.0
IL1RAPL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691645555023294,0.0,0.0,0.0,0.5581438311900715
AC092620.1,0.0,0.0,0.0,0.0,0.1710513250786905,0.0,0.0,0.0,0.29985124740064445,0.0,0.0,0.0,0.0
AC109466,0.0,0.0,0.0,0.0,0.0,0.7697617366730369,0.0,0.0,0.6302124724761263,0.0,0.0,0.0,0.0
PGR-AS1,0.0,0.18260600401609828,0.0,0.0,0.8068643973280649,0.09551207073556842,0.31631479618477965,0.0,0.009352280237937872,0.0,0.1124198274831107,0.6260777103750389,0.0
C14orf39,0.0,0.0,0.0,0.0,0.0,0.0,0.05157297509046115,0.0,0.17090218109715796,0.0,0.0,0.6930389519071264,0.0
TRPC6,0.0,0.0,0.0,0.0,0.48593656369604,0.737573577603551,0.1283545466388031,0.0,0.10641110376734964,0.0,0.0,0.6671416937541763,0.13533278275260954
CDH7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04311199207135778,0.9427337516856976,0.0,0.0,0.0,0.0
CARM1P1,0.0,0.35440476611231186,0.0,0.0,0.0,0.0,0.0,0.0,0.6631657511336477,0.0,0.0,0.0,0.0
SLC5A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629116266734536,0.0,0.0,0.0,0.0
AC097487,0.0,0.614927009143886,0.0,0.0,0.0,0.24386493324509984,0.0,0.0,0.2521111118415585,0.0,0.0,0.0,0.0
RXFP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853295849479529,0.0,0.0,0.0,0.0
AC109439,0.0,0.9552113074920048,0.0,0.0,0.006208358570563295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLL1,0.0,0.0,0.0,0.0,0.0,0.0,0.3205110194581037,0.0,0.5514176363233165,0.0,0.7064461474863237,0.0,0.0
LINC01163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4655712648147431,0.3379167955524367,0.0,0.0,0.0,0.0
ZNF890P,0.0,0.0,0.0,0.0,0.0,0.0,0.29638164496541464,0.0,0.15480832782551224,0.0,0.0,0.0,0.0
AC092422,0.0,0.5069339061201699,0.0,0.0,0.0,0.0,0.0,0.0,0.7304471199539656,0.0,0.0,0.0,0.0
AC008415,0.0,0.0,0.0,0.0,0.0,0.05415754923413567,0.0,0.0,0.625486684774129,0.0,0.0,0.0,0.0
LINC01885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6927229708716509,0.0,0.0,0.17666960857687866,0.0
ITGA11,0.0,0.0,0.0,0.0,0.0,0.0,0.6713978613209551,0.0,0.39577786578332796,0.0,0.0,0.1574737482991576,0.7281270013011818
ITGA8,0.0,0.0,0.0,0.0,0.0,0.08394153024919,0.7310629789009417,0.0,0.4147636227454829,0.0,0.0,0.0,0.5776212674012923
MYO5B,0.0,0.0,0.0,0.0,0.0,0.7091247505154443,0.0,0.0,0.09838070059484467,0.0,0.0,0.0,0.0
AL356124.1,0.0,0.0,0.0,0.0,0.1692356279635432,0.0,0.10522090100923794,0.0,0.43288549518013486,0.0,0.0,0.09674714956405098,0.0
AL035401,0.0,0.0,0.0,0.0,0.0,0.45180405484525643,0.07277167277167278,0.0,0.12224058162590878,0.0,0.0,0.0,0.0
STXBP5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509277460574695,0.0,0.0,0.0,0.0
KLHL14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7546272718353962,0.0,0.0,0.0,0.0
ADAMTS16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927645558150072,0.01897929531420269,0.0,0.0,0.0
ZNF804B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7473469258687983,0.0,0.005843603909902253,0.0,0.0
AC022424.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8355582365396664,0.0,0.0,0.0,0.0
SAMD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8775853324429064,0.5686644714273953,0.0,0.0,0.0,0.0
CASR,0.0,0.0,0.0,0.0,0.0,0.14514952589350838,0.0,0.0,0.5847370783169292,0.0,0.0,0.0,0.0
